,agentura,období,vyberte stranu,vážený průměr,party_average,size,model,agentura1
0,CVVM,týd 44/17,ANO,0.3178712175032711,ANO,1,31.8,vážený model
1,Data Collect,týd 44/17,ANO,0.3178712175032711,ANO,1,31.8,vážený model
2,Ipsos,týd 44/17,ANO,0.3178712175032711,ANO,1,31.8,vážený model
3,Kantar,týd 44/17,ANO,0.3178712175032711,ANO,1,31.8,vážený model
4,Median,týd 44/17,ANO,0.3178712175032711,ANO,1,31.8,vážený model
5,STEM,týd 44/17,ANO,0.3178712175032711,ANO,1,31.8,vážený model
6,CVVM,týd 45/17,ANO,0.317871217503271,ANO,1,31.8,vážený model
7,Data Collect,týd 45/17,ANO,0.317871217503271,ANO,1,31.8,vážený model
8,Ipsos,týd 45/17,ANO,0.317871217503271,ANO,1,31.8,vážený model
9,Kantar,týd 45/17,ANO,0.317871217503271,ANO,1,31.8,vážený model
10,Median,týd 45/17,ANO,0.317871217503271,ANO,1,31.8,vážený model
11,STEM,týd 45/17,ANO,0.317871217503271,ANO,1,31.8,vážený model
12,CVVM,týd 46/17,ANO,0.31852847886064123,ANO,1,31.9,vážený model
13,Data Collect,týd 46/17,ANO,0.31852847886064123,ANO,1,31.9,vážený model
14,Ipsos,týd 46/17,ANO,0.31852847886064123,ANO,1,31.9,vážený model
15,Kantar,týd 46/17,ANO,0.31852847886064123,ANO,1,31.9,vážený model
16,Median,týd 46/17,ANO,0.31852847886064123,ANO,1,31.9,vážený model
17,STEM,týd 46/17,ANO,0.31852847886064123,ANO,1,31.9,vážený model
18,CVVM,týd 47/17,ANO,0.3207016009010344,ANO,1,32.1,vážený model
19,Data Collect,týd 47/17,ANO,0.3207016009010344,ANO,1,32.1,vážený model
20,Ipsos,týd 47/17,ANO,0.3207016009010344,ANO,1,32.1,vážený model
21,Kantar,týd 47/17,ANO,0.3207016009010344,ANO,1,32.1,vážený model
22,Median,týd 47/17,ANO,0.3207016009010344,ANO,1,32.1,vážený model
23,STEM,týd 47/17,ANO,0.3207016009010344,ANO,1,32.1,vážený model
24,CVVM,týd 48/17,ANO,0.32262153226840723,ANO,1,32.3,vážený model
25,Data Collect,týd 48/17,ANO,0.32262153226840723,ANO,1,32.3,vážený model
26,Ipsos,týd 48/17,ANO,0.32262153226840723,ANO,1,32.3,vážený model
27,Kantar,týd 48/17,ANO,0.32262153226840723,ANO,1,32.3,vážený model
28,Median,týd 48/17,ANO,0.32262153226840723,ANO,1,32.3,vážený model
29,STEM,týd 48/17,ANO,0.32262153226840723,ANO,1,32.3,vážený model
30,CVVM,týd 49/17,ANO,0.32424892992461757,ANO,1,32.4,vážený model
31,Data Collect,týd 49/17,ANO,0.32424892992461757,ANO,1,32.4,vážený model
32,Ipsos,týd 49/17,ANO,0.32424892992461757,ANO,1,32.4,vážený model
33,Kantar,týd 49/17,ANO,0.32424892992461757,ANO,1,32.4,vážený model
34,Median,týd 49/17,ANO,0.32424892992461757,ANO,1,32.4,vážený model
35,STEM,týd 49/17,ANO,0.32424892992461757,ANO,1,32.4,vážený model
36,CVVM,týd 50/17,ANO,0.32348163507463773,ANO,1,32.3,vážený model
37,Data Collect,týd 50/17,ANO,0.32348163507463773,ANO,1,32.3,vážený model
38,Ipsos,týd 50/17,ANO,0.32348163507463773,ANO,1,32.3,vážený model
39,Kantar,týd 50/17,ANO,0.32348163507463773,ANO,1,32.3,vážený model
40,Median,týd 50/17,ANO,0.32348163507463773,ANO,1,32.3,vážený model
41,STEM,týd 50/17,ANO,0.32348163507463773,ANO,1,32.3,vážený model
42,CVVM,týd 51/17,ANO,0.3219034545164494,ANO,1,32.2,vážený model
43,Data Collect,týd 51/17,ANO,0.3219034545164494,ANO,1,32.2,vážený model
44,Ipsos,týd 51/17,ANO,0.3219034545164494,ANO,1,32.2,vážený model
45,Kantar,týd 51/17,ANO,0.3219034545164494,ANO,1,32.2,vážený model
46,Median,týd 51/17,ANO,0.3219034545164494,ANO,1,32.2,vážený model
47,STEM,týd 51/17,ANO,0.3219034545164494,ANO,1,32.2,vážený model
48,CVVM,týd 52/17,ANO,0.32046849474549677,ANO,1,32.0,vážený model
49,Data Collect,týd 52/17,ANO,0.32046849474549677,ANO,1,32.0,vážený model
50,Ipsos,týd 52/17,ANO,0.32046849474549677,ANO,1,32.0,vážený model
51,Kantar,týd 52/17,ANO,0.32046849474549677,ANO,1,32.0,vážený model
52,Median,týd 52/17,ANO,0.32046849474549677,ANO,1,32.0,vážený model
53,STEM,týd 52/17,ANO,0.32046849474549677,ANO,1,32.0,vážený model
54,CVVM,týd 01/18,ANO,0.31922107930567345,ANO,1,31.9,vážený model
55,Data Collect,týd 01/18,ANO,0.31922107930567345,ANO,1,31.9,vážený model
56,Ipsos,týd 01/18,ANO,0.31922107930567345,ANO,1,31.9,vážený model
57,Kantar,týd 01/18,ANO,0.31922107930567345,ANO,1,31.9,vážený model
58,Median,týd 01/18,ANO,0.31922107930567345,ANO,1,31.9,vážený model
59,STEM,týd 01/18,ANO,0.31922107930567345,ANO,1,31.9,vážený model
60,CVVM,týd 02/18,ANO,0.31817834967905256,ANO,1,31.8,vážený model
61,Data Collect,týd 02/18,ANO,0.31817834967905256,ANO,1,31.8,vážený model
62,Ipsos,týd 02/18,ANO,0.31817834967905256,ANO,1,31.8,vážený model
63,Kantar,týd 02/18,ANO,0.31817834967905256,ANO,1,31.8,vážený model
64,Median,týd 02/18,ANO,0.31817834967905256,ANO,1,31.8,vážený model
65,STEM,týd 02/18,ANO,0.31817834967905256,ANO,1,31.8,vážený model
66,CVVM,týd 03/18,ANO,0.3173348838565836,ANO,1,31.7,vážený model
67,Data Collect,týd 03/18,ANO,0.3173348838565836,ANO,1,31.7,vážený model
68,Ipsos,týd 03/18,ANO,0.3173348838565836,ANO,1,31.7,vážený model
69,Kantar,týd 03/18,ANO,0.3173348838565836,ANO,1,31.7,vážený model
70,Median,týd 03/18,ANO,0.3173348838565836,ANO,1,31.7,vážený model
71,STEM,týd 03/18,ANO,0.3173348838565836,ANO,1,31.7,vážený model
72,CVVM,týd 04/18,ANO,0.31730166295506723,ANO,1,31.7,vážený model
73,Data Collect,týd 04/18,ANO,0.31730166295506723,ANO,1,31.7,vážený model
74,Ipsos,týd 04/18,ANO,0.31730166295506723,ANO,1,31.7,vážený model
75,Kantar,týd 04/18,ANO,0.31730166295506723,ANO,1,31.7,vážený model
76,Median,týd 04/18,ANO,0.31730166295506723,ANO,1,31.7,vážený model
77,STEM,týd 04/18,ANO,0.31730166295506723,ANO,1,31.7,vážený model
78,CVVM,týd 05/18,ANO,0.31737490658691353,ANO,1,31.7,vážený model
79,Data Collect,týd 05/18,ANO,0.31737490658691353,ANO,1,31.7,vážený model
80,Ipsos,týd 05/18,ANO,0.31737490658691353,ANO,1,31.7,vážený model
81,Kantar,týd 05/18,ANO,0.31737490658691353,ANO,1,31.7,vážený model
82,Median,týd 05/18,ANO,0.31737490658691353,ANO,1,31.7,vážený model
83,STEM,týd 05/18,ANO,0.31737490658691353,ANO,1,31.7,vážený model
84,CVVM,týd 06/18,ANO,0.3172025358024362,ANO,1,31.7,vážený model
85,Data Collect,týd 06/18,ANO,0.3172025358024362,ANO,1,31.7,vážený model
86,Ipsos,týd 06/18,ANO,0.3172025358024362,ANO,1,31.7,vážený model
87,Kantar,týd 06/18,ANO,0.3172025358024362,ANO,1,31.7,vážený model
88,Median,týd 06/18,ANO,0.3172025358024362,ANO,1,31.7,vážený model
89,STEM,týd 06/18,ANO,0.3172025358024362,ANO,1,31.7,vážený model
90,CVVM,týd 07/18,ANO,0.31585307400472046,ANO,1,31.6,vážený model
91,Data Collect,týd 07/18,ANO,0.31585307400472046,ANO,1,31.6,vážený model
92,Ipsos,týd 07/18,ANO,0.31585307400472046,ANO,1,31.6,vážený model
93,Kantar,týd 07/18,ANO,0.31585307400472046,ANO,1,31.6,vážený model
94,Median,týd 07/18,ANO,0.31585307400472046,ANO,1,31.6,vážený model
95,STEM,týd 07/18,ANO,0.31585307400472046,ANO,1,31.6,vážený model
96,CVVM,týd 08/18,ANO,0.3138097559810543,ANO,1,31.4,vážený model
97,Data Collect,týd 08/18,ANO,0.3138097559810543,ANO,1,31.4,vážený model
98,Ipsos,týd 08/18,ANO,0.3138097559810543,ANO,1,31.4,vážený model
99,Kantar,týd 08/18,ANO,0.3138097559810543,ANO,1,31.4,vážený model
100,Median,týd 08/18,ANO,0.3138097559810543,ANO,1,31.4,vážený model
101,STEM,týd 08/18,ANO,0.3138097559810543,ANO,1,31.4,vážený model
102,CVVM,týd 09/18,ANO,0.31177861335563734,ANO,1,31.2,vážený model
103,Data Collect,týd 09/18,ANO,0.31177861335563734,ANO,1,31.2,vážený model
104,Ipsos,týd 09/18,ANO,0.31177861335563734,ANO,1,31.2,vážený model
105,Kantar,týd 09/18,ANO,0.31177861335563734,ANO,1,31.2,vážený model
106,Median,týd 09/18,ANO,0.31177861335563734,ANO,1,31.2,vážený model
107,STEM,týd 09/18,ANO,0.31177861335563734,ANO,1,31.2,vážený model
108,CVVM,týd 10/18,ANO,0.30986046482385393,ANO,1,31.0,vážený model
109,Data Collect,týd 10/18,ANO,0.30986046482385393,ANO,1,31.0,vážený model
110,Ipsos,týd 10/18,ANO,0.30986046482385393,ANO,1,31.0,vážený model
111,Kantar,týd 10/18,ANO,0.30986046482385393,ANO,1,31.0,vážený model
112,Median,týd 10/18,ANO,0.30986046482385393,ANO,1,31.0,vážený model
113,STEM,týd 10/18,ANO,0.30986046482385393,ANO,1,31.0,vážený model
114,CVVM,týd 11/18,ANO,0.30826890263742124,ANO,1,30.8,vážený model
115,Data Collect,týd 11/18,ANO,0.30826890263742124,ANO,1,30.8,vážený model
116,Ipsos,týd 11/18,ANO,0.30826890263742124,ANO,1,30.8,vážený model
117,Kantar,týd 11/18,ANO,0.30826890263742124,ANO,1,30.8,vážený model
118,Median,týd 11/18,ANO,0.30826890263742124,ANO,1,30.8,vážený model
119,STEM,týd 11/18,ANO,0.30826890263742124,ANO,1,30.8,vážený model
120,CVVM,týd 12/18,ANO,0.30704396846536736,ANO,1,30.7,vážený model
121,Data Collect,týd 12/18,ANO,0.30704396846536736,ANO,1,30.7,vážený model
122,Ipsos,týd 12/18,ANO,0.30704396846536736,ANO,1,30.7,vážený model
123,Kantar,týd 12/18,ANO,0.30704396846536736,ANO,1,30.7,vážený model
124,Median,týd 12/18,ANO,0.30704396846536736,ANO,1,30.7,vážený model
125,STEM,týd 12/18,ANO,0.30704396846536736,ANO,1,30.7,vážený model
126,CVVM,týd 13/18,ANO,0.3061946878715407,ANO,1,30.6,vážený model
127,Data Collect,týd 13/18,ANO,0.3061946878715407,ANO,1,30.6,vážený model
128,Ipsos,týd 13/18,ANO,0.3061946878715407,ANO,1,30.6,vážený model
129,Kantar,týd 13/18,ANO,0.3061946878715407,ANO,1,30.6,vážený model
130,Median,týd 13/18,ANO,0.3061946878715407,ANO,1,30.6,vážený model
131,STEM,týd 13/18,ANO,0.3061946878715407,ANO,1,30.6,vážený model
132,CVVM,týd 14/18,ANO,0.3053954770574718,ANO,1,30.5,vážený model
133,Data Collect,týd 14/18,ANO,0.3053954770574718,ANO,1,30.5,vážený model
134,Ipsos,týd 14/18,ANO,0.3053954770574718,ANO,1,30.5,vážený model
135,Kantar,týd 14/18,ANO,0.3053954770574718,ANO,1,30.5,vážený model
136,Median,týd 14/18,ANO,0.3053954770574718,ANO,1,30.5,vážený model
137,STEM,týd 14/18,ANO,0.3053954770574718,ANO,1,30.5,vážený model
138,CVVM,týd 15/18,ANO,0.30467877501348256,ANO,1,30.5,vážený model
139,Data Collect,týd 15/18,ANO,0.30467877501348256,ANO,1,30.5,vážený model
140,Ipsos,týd 15/18,ANO,0.30467877501348256,ANO,1,30.5,vážený model
141,Kantar,týd 15/18,ANO,0.30467877501348256,ANO,1,30.5,vážený model
142,Median,týd 15/18,ANO,0.30467877501348256,ANO,1,30.5,vážený model
143,STEM,týd 15/18,ANO,0.30467877501348256,ANO,1,30.5,vážený model
144,CVVM,týd 16/18,ANO,0.3045516205081736,ANO,1,30.5,vážený model
145,Data Collect,týd 16/18,ANO,0.3045516205081736,ANO,1,30.5,vážený model
146,Ipsos,týd 16/18,ANO,0.3045516205081736,ANO,1,30.5,vážený model
147,Kantar,týd 16/18,ANO,0.3045516205081736,ANO,1,30.5,vážený model
148,Median,týd 16/18,ANO,0.3045516205081736,ANO,1,30.5,vážený model
149,STEM,týd 16/18,ANO,0.3045516205081736,ANO,1,30.5,vážený model
150,CVVM,týd 17/18,ANO,0.30420100833844765,ANO,1,30.4,vážený model
151,Data Collect,týd 17/18,ANO,0.30420100833844765,ANO,1,30.4,vážený model
152,Ipsos,týd 17/18,ANO,0.30420100833844765,ANO,1,30.4,vážený model
153,Kantar,týd 17/18,ANO,0.30420100833844765,ANO,1,30.4,vážený model
154,Median,týd 17/18,ANO,0.30420100833844765,ANO,1,30.4,vážený model
155,STEM,týd 17/18,ANO,0.30420100833844765,ANO,1,30.4,vážený model
156,CVVM,týd 18/18,ANO,0.3030668226435063,ANO,1,30.3,vážený model
157,Data Collect,týd 18/18,ANO,0.3030668226435063,ANO,1,30.3,vážený model
158,Ipsos,týd 18/18,ANO,0.3030668226435063,ANO,1,30.3,vážený model
159,Kantar,týd 18/18,ANO,0.3030668226435063,ANO,1,30.3,vážený model
160,Median,týd 18/18,ANO,0.3030668226435063,ANO,1,30.3,vážený model
161,STEM,týd 18/18,ANO,0.3030668226435063,ANO,1,30.3,vážený model
162,CVVM,týd 19/18,ANO,0.3018999442265929,ANO,1,30.2,vážený model
163,Data Collect,týd 19/18,ANO,0.3018999442265929,ANO,1,30.2,vážený model
164,Ipsos,týd 19/18,ANO,0.3018999442265929,ANO,1,30.2,vážený model
165,Kantar,týd 19/18,ANO,0.3018999442265929,ANO,1,30.2,vážený model
166,Median,týd 19/18,ANO,0.3018999442265929,ANO,1,30.2,vážený model
167,STEM,týd 19/18,ANO,0.3018999442265929,ANO,1,30.2,vážený model
168,CVVM,týd 20/18,ANO,0.3007599788541409,ANO,1,30.1,vážený model
169,Data Collect,týd 20/18,ANO,0.3007599788541409,ANO,1,30.1,vážený model
170,Ipsos,týd 20/18,ANO,0.3007599788541409,ANO,1,30.1,vážený model
171,Kantar,týd 20/18,ANO,0.3007599788541409,ANO,1,30.1,vážený model
172,Median,týd 20/18,ANO,0.3007599788541409,ANO,1,30.1,vážený model
173,STEM,týd 20/18,ANO,0.3007599788541409,ANO,1,30.1,vážený model
174,CVVM,týd 21/18,ANO,0.30040075232748104,ANO,1,30.0,vážený model
175,Data Collect,týd 21/18,ANO,0.30040075232748104,ANO,1,30.0,vážený model
176,Ipsos,týd 21/18,ANO,0.30040075232748104,ANO,1,30.0,vážený model
177,Kantar,týd 21/18,ANO,0.30040075232748104,ANO,1,30.0,vážený model
178,Median,týd 21/18,ANO,0.30040075232748104,ANO,1,30.0,vážený model
179,STEM,týd 21/18,ANO,0.30040075232748104,ANO,1,30.0,vážený model
180,CVVM,týd 22/18,ANO,0.3010128684736579,ANO,1,30.1,vážený model
181,Data Collect,týd 22/18,ANO,0.3010128684736579,ANO,1,30.1,vážený model
182,Ipsos,týd 22/18,ANO,0.3010128684736579,ANO,1,30.1,vážený model
183,Kantar,týd 22/18,ANO,0.3010128684736579,ANO,1,30.1,vážený model
184,Median,týd 22/18,ANO,0.3010128684736579,ANO,1,30.1,vážený model
185,STEM,týd 22/18,ANO,0.3010128684736579,ANO,1,30.1,vážený model
186,CVVM,týd 23/18,ANO,0.3016173391189089,ANO,1,30.2,vážený model
